original_text,augmented_text
"In case you missed it , @owen_paradigm &amp; I got married on 18th December . New name http://t.co/0LTg5Z9Kx2 Sneaky pics http://t.co/Eu0GWETsBk x","[CLS] In case you missed it , @ owe ##n . , & am ##p ; I got here on 18th December . New name : http / / desirable . co / 0 ##LT ##g ##5 ##Z ##9 ##K ##x ##2 S ##nea ##ky Top ##ics http : / / t . co / E ##u ##0 ##G ##W ##ET ##T . [SEP]"
RT @Louis_Tomlinson : Watching Space Jam is a good way to spend a Sunday !!,[CLS] R ##oar @ Louis _ Tom ##lins ##on : The Space Jam is a good way to spend a Sunday ! ! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
Cowboys on a 3rd and 10 finally get their 1st down in the game .,[CLS] . on a 3rd and 10 finally get their heads down in the river . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"Fears About Cloud May Be Holding Organizations Back , Study Shows - Visit link for more http://t.co/e5bg2bLnqc","[CLS] Fear ##s About Cloud May Be Holding Organizations Back , Study Show ##s - V ##isi ##t link for more http : / / t . co / e ##5 ##b ##g ##2 Daughters ##L ##n ##q ##c [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Pretty excited to see @JeremyLoops at @DeliciousFestSA tomorrow . Always a treat seeing him perform live !,[CLS] @ Doug to see @ Jeremy ##L ##oop ##s at the ##sp ##icious ##F ##est ##SA tomorrow . Always a treat opponent to perform ! ! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"#Job #KansasCity Area Sales Director &amp; Publisher ( 950) : MO-Kansas City , Join the 17th Fastest Growing Private ... http://t.co/4NbluSUTeq",[CLS] # Job # Kansas ##C ##ity Area Sales Director & am ##p . Publisher ( s ) : M ##O - 1 . . Jo ##in the 17th Fast ##est Growing Private . . . http : / sink t . co / M ##N ##b ##ES ##SU ##T ##e ##q [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @justinbieber : Have a great Sunday,[CLS] R ##T @ just ##≤ ##bie ##ber : Have a great Sunday [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
@WMonikaFonseca Happy Sunday !,[CLS] [UNK] W ##M ##oni ##ka ##F ##ons ##eca Happy Sunday ! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @swansduckling : jen , ginny , gosh , ouat may haven't won but they will always be winners in our hearts","[CLS] R ##T @ s ##wan ##s ##du ##ckling : j ##en , g ##inn ##y , go ##sh , ou ##at may haven label t won but they will always be winners in our hearts [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
@falloutboy ITS LIKE YOU JUST LOOKED AT THE SMUT SATURDAY TAG .,[CLS] Early fall ##y ##boy IT ##S L ##I ##KE YOU J ##US ##T brushed ##O ##OK ##ED AT THE SM ##UT SAT ##UR ##DA ##Y T ##AG . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @Shamrock_Dan : Kuwait City coastline . March 1991 . Desert Storm . http://t.co/oJs4upbSgt,[CLS] R ##T @ S ##ham ##rock _ Dan : Kuwait City coastline . March 2011 . Desert Storm . http : : / t . co / o ##J ##s ##4 ##up ##b ##S ##gt [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"@tos http://t.co/T5PXNsRVMV December 31 , 2014 at 12:05 PM WHATTIME IS IT NOW","[CLS] @ to ##s http : / / t . co / T ##AP ##P ##X ##N ##s ##R ##V ##M ##V December 31 , 2014 at 8 : 05 PM W ##HA ##ST ##IM ##E IS IT NO ##W [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Wow !.. Michael Owen jwus just ask who he think will finish in top four as 3rd and 4th .. he said LFC &amp; MUFC . smh .. he is such an bias assole .,"[CLS] Wow ! . . Michael Owen j ##wu , just ask who he think will finish the top four as 3rd and 4th . . . said L ##FC & am ##p ; M ##U ##FC . . ##mp ##h . . he is such an arrogant ass ##hat . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Rock your #Monday Tweeps ! :) @Armandt_R @gabyLariviere @AnaAlegriaE @jauzer79 @tomkohlt @CarlowTours @Just_Antz http://t.co/ya1hwFQ06x,[CLS] Rock your # Monday T Remember ##ep ##s ! : ) @ Armand ##t _ R @ g ##aby ##L ##ari ##vier ##e @ Ana ##A ##leg ##ria ##E @ j ##oo ##zer ##7 ##7 @ to ##m ##ko ##hl ##t @ Carlo ##w ##T ##ime @ Just _ Fi ##tz http : / / t . com . ya ##rg ##h [SEP]
@LittleMix this saturday is my bday Can you wish me a happy bday ? Love you #ExcitedForLittleMix2015 x14,[CLS] @ Little ##M ##ties this sat ##ur ##day is my b ##day Can you wish me a happy b ##day to Thank you . Ex ##cite ##d ##F ##or ##L ##ittle ##M ##ix ##20 ##15 ##20 ##14 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
re : re : re : re : re : re : re : re : re : re : re : re : Esther Sikkimese is now following me on Twitter ! http://t.co/Z58brwgxFp Thanks a bunch ! 103 January ...,[CLS] re : re : re : re : re : re : re : re : re : re : re : re : Esther Si ##k ##kim ##ese is now following me on Twitter ! http : / / t . com / Z ##5 ##8 ##b ##r ##w ##g ##x ##F ##p - a bunch ! 103 January 2016 . [SEP]
"@kl3 January 29 , 2015 at 05:54 PM 4","[CLS] 4 k ##l ##3 January 15 , 2015 at 05 : 54 PM 4 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Best New Electro Music Mix February 2015 ! http://t.co/jrqyASK1SH,[CLS] The The El ##ec ##tro Music Mix February 2015 ! http : / / t . ##c / j ##r ##q ##y ##AS ##K ##1 ##S ##H [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"http://t.co/WRBOdW3aUO January 01 , 2015 at 06:57 AM","[CLS] http : / / t . co / WR ##BO ##d ##W ##3 ##a ##U ##O January 01 , 2015 at 06 : 57 AM [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
RT @TheBulMerlo : Not going to school Monday http://t.co/HGrbIWVqmW,[CLS] R ##T @ The ##so ##ul ##M ##er ##lo is is going to school Monday http : / / t . co / H ##G ##rb ##I ##W ##V ##q ##m . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
Exam tomorrow 's got me like .. http://t.co/MNAEyfHy4P,[CLS] Ex ##pect tomorrow ' s got me like . . http : / / t . co / M ##NA ##E ##y ##f ##H ##y ##4 ##P [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @ectgurlhor : Manu fury as City freeze him out | The Sun |Sport|Football,[CLS] R ##T @ e ##ct ##gu ##rl ##hor : Man ##u fury | City freeze ##s out | The Sun | | | Football [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"In just two months award-winning actor , Viola Davis , comes to Hartford to celebrate the 20th Anniversary of YWCA ... http://t.co/McHtimnQpx","[CLS] In just two months award - winning actor , Jeff Davis , comes to Hartford to celebrate the 20th Anniversary of Y ##WC ##A . . . http : / / t . co . M ##c ##C ##c ##m ##n ##Q ##p . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
Rob Halford at Judas Priest Press Conference In Hollywood http://t.co/422TPARXDz,[CLS] Rob Half ##ord at Ju ##das Priest Press Conference in Hollywood http : / / t . co / 42 ##2 - ##X ##X ##D ##z [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @QuarterQuellOrg : A very happy 25th birthday to the fearless Gale Hawthorne , @LiamHemsworth ! #Mockingjay http://t.co/cazltksGgP","[CLS] NO ##T @ Quarter ##Q ##uil ##l ##O ##rg : A very happy 25th birthday to the enhance ##less Gale Hawthorne , @ Liam ##H ##ems ##worth ! # Mo ##cking ##bird http : / / t . co . ca ##z ##lt ##y ##G ##g ##P [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
isthatjessiej and @kristen3196 in New York on 12th December 2014 ! http://t.co/1UJXENJZYi,[CLS] is ##tha ##ブ ##je ##ssie ##j and the k ##rist ##en ##31 hormones ##6 in New York on 12th October 2014 ! http : / / t . co / 1 ##U ##J ##X ##EN ##J ##Z ##Y ##i [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @catherinetinker : . @parksandrecnbc returns tomorrow and i ain't playin http://t.co/sQ6dRni1kF,[CLS] R ##T : cat ##her ##inet ##ink ##er : . @ parks ##p ##re ##c ##n ##b ##c returns tomorrow and i ain ##ु t play ##in http : / / t . co . s ##p ##6 . ##s ##ni ##1 ##k ##F [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
RT @gmcuk : Duty of candour joint consultation with @nmcnews closes on 5 Jan . Help us shape our guidance : http://t.co/cUwYkYDTXT,[CLS] R ##T @ g ##b ##cu ##k : Duty of can ##do ##ur joint consultation with @ g ##c ##ne ##ws closes on 5 Jan . Help us shape your guidance : http : / / t . co / c ##U ##w ##Y ##k ##Y ##D ##T ##XT [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
Happy Sunday guys,[CLS] . ##s guys [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"La gente toda entusiasmada con la AUTOPISTA DEL MAR , pero bien que podia ser AUTOVIA ! Con tantos peajes nos acribillan ! :-)","[CLS] La g ##ente na ##da en ##tus ##ias ##mada con la AU ##TO ##PI ##ST ##A DE ##L ##IVE ##R , per ##o bi ##en la pod ##ia se ##r AU ##TI ##VI ##A ! Con tan ##tos p ##ea ##po ##s no ##s a ##g ##ri ##bill ##as ! : - ) [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
#bbcaq Sun always shines for #Photoactive cells . The tide always rises &amp; falls . The waves always swell &amp; roll ... #SustainableEnergy,[CLS] # b ##b ##ca ##q Sun always shine ##s for # Photo ##active cells . The tide always rises & am ##p ; falls for the waves always swell & am ##p ; roll over . # # Sustainable ##E ##ner ##gy [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @SpringFordBands : Reminder : all Jazz ensemble rehearsals start tomorrow . JB2 is 230-4 , JB1 is 4-530 . Rehearsals in 9GC .","[CLS] R ##T @ Spring ##F ##ord ##B ##and ##s : Re ##mind ##er : all Jazz ensemble rehearsal ##s start tomorrow . J ##B ##2 is 230 - 530 , J ##B ##1 is 4 - 530 . Re ##hea ##rsa ##ls in 9 hours . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
21 Times Emma Watson Proved She May Actually Be A Witch In 2014 - http://t.co/1lFNyErVHN http://t.co/W43LsP6ZGN,[CLS] 21 Times Emma Watson Pro ##ved She May Actually Be A Witch . 2014 - http : / / t . co / 1 ##l ##F ##N ##y ##E ##r ##V ##H ##N http : / / t . co / W ##43 ##L ##s ##7 ##6 ##Z ##G ##N [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
Pic from the game on Tuesday . Great atmosphere . Hope we do it at the bridge ! #LFC http://t.co/r2qnZshZdA,[CLS] Pi ##lls from the game on Tuesday . No won . Hope to do it at the bridge ! # P ##FC http : / / / . co / r ##ac ##q ##n ##Z ##a ##Z ##d ##A [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"#Young weather January 21 , 22 , 23 , 24 , 25 , 26 2015 http://t.co/grfbJXY7Bq","[CLS] # Young ##sters ##s 21 , 22 , 23 , 24 , 25 , 26 2015 http : / / t . co . g ##rf ★ ##J ##X ##Y ##7 ##B . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
@el_954 PTTTTDDDDDDDDR c'est pas mon gars wsh,[CLS] @ el _ 95 ##4 PT ##TT ##T ##D ##D ##D ##D ##D ##D ##D ##DR ##ac ' est p ##as mon g ##ars w ##sh [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
@youngpro36 omg I'm going there before I leave Sunday,"[CLS] @ young ##p ##ro ##36 ##aru ##m anyway I ' m Suddenly , , I leave Sunday [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
@MushoDeLaVegaaa @Diiiaana_B Whatsap c'est mon dernier mot,[CLS] @ Mu ##sh ##o ##D ##e ##L ##a ##V ##eg ##aa ##a ##resses Di ##ii ##aan ##g _ B ##ily ##lim ##p c ' est mon der ##nier m ##ot [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
Your ability to hide your feelings today may be the key to sta ... More for Leo http://t.co/9b3HCUNun0,[CLS] Your ability to hide your feelings today may be the key to s ##ta ##unch . . More . Leo http : / / Marius . co / 9 ##b ##3 ##HC ##UN ##un ##0 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"@theohyesyes Lola doesn't like her picture taken , lol . I had to go back to last March to find this one ! http://t.co/UmpKKndWWK","[CLS] @ the ##oh ##yes ##yes Lola doesn ' t like her picture taken , lo ##l . I had to go back to last March to find another one ! http : / / t . co / i ##K ##K ##K ##nd ##W ##W ##K [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
"RT @vivaYONGYONG : [ Yoseob , Dongwoon/HQ ] 150114 29th GDA ( cr . IdeaboxStore ) http://t.co/J7GcfWslL1","[CLS] R ##T @ v ##E ##Y ##ON ##G ##Y ##ON ##G : [ Yo ##se ##ob , Dong ##wo ##on / HQ ] 150 ##11 ##4 29th G ##DA ( c ##r . I - ##m ##S ##tore ) http : / / t . co / J ##7 ##G ##c . / ##c ##l ##L ##1 [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]"
jim50 : $FB Open Date =D ec-12-2014 Open= 77.16 High= 78.88 http://t.co/QIPYHac0XA,[CLS] ji ##c ##50 : $ 1 ##B Open Date = D ##f ##c - 12 - 2014 Open = 77 . 16 High = 78 . 88 http : / / t . co / Q ##IP - ὰ ##ac ##0 ##X . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
It was a good night I have school tomorrow nightttt,[CLS] It was a good night I have slept tomorrow night ##tt ##t [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @pennycoho : So beautiful , so alive , our wild friends ~ may they remain so ! http://t.co/oTvHllbqEG","[CLS] R ##T @ s ##co ##ho : So Thom , so alive , our wild friends ~ may they remain so ! http : / / t . co / o ##T ##v ##H ##ib ##b ##q . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
RT @_happinex : J'ai enfin mon nouveau tel #MTVStars One Direction,[CLS] R Māori ₙ _ ha ##pp ##ine ##x : J ' a ##i en ##fin mon no ##s te ##l : MTV meal ##tars One Direction [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
That 's what I love Sunday . Cat nappin ' on the porch swing .,[CLS] That ' s what I love Sunday . Cat nap ##pin ' on the porch swing . [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @YourROWYSOdate : 3 JUNE , 2015 LEEDS , UK FIRST DIRECT ARENA","[CLS] R ##T Hang Your ##RO ##W ##Y Up ##date : 3 J ##UN ##E , 2015 L ##EE ##DS , UK F ##IR ##ST F ##IR ##EC ##T AR ##EN ##A [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
RT @FoxTheatreDet @YoungJeezy tonight + @georgelopez tomorrow = fun weekend at the Fox !,[CLS] R ##T @ Fox ##T ##heat ##re ##D ##et ##rix Young br ##ee ##zy tonight + @ g ##eor ##gel ##ope ##z tomorrow is next weekend at the Fox ! [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
For some reason I thought today was Monday #wtfmoment,[CLS] For some reason I thought today was today # w ##t ##f ##mo ##ment [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]
"RT @davidetmiller : A Hefty , Hearty Salad to Make January Better #food http://t.co/CHfXBL4BcJ http://t.co/GnUrYJJIwp","[CLS] J ##T ##he da ##vide ##t ##mill ##er : A He ##fty , Salt ##y Sal ##ad to Make January Better # food http : / / t . co / CH ##f ##X ##0 ##4 ##C ##c ##J http : / / t . co / G ##n ##U ##r ##Y ##J ##J ##I ##w ##p [SEP] [PAD] [PAD] [PAD] [PAD] [PAD]"
"http://t.co/cFi1zMAG6a December 15 , 2014 at 11:27 AM","[CLS] http : / / t . co / www ##gu ##i ##1 ##z ##MA ##T ##6 ##a December 15 , 2014 at 11 : 00 AM [SEP] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD] [PAD]"
